episode,timestep,reward,length
62,3663,-4.953800015151501,76
63,3724,-3.974058285355568,61
64,3776,-3.3926378935575485,52
65,3814,-2.4826700165867805,38
66,3865,-3.3372213914990425,51
67,3927,-4.0656633451581,62
68,3984,-3.743018254637718,57
69,4045,-4.013024643063545,61
70,4086,-2.6997547522187233,41
71,4132,-3.0333961695432663,46
72,4175,-2.8397396951913834,43
73,4205,-1.9831737875938416,30
74,4242,-2.447220489382744,37
75,4283,-2.714798517525196,41
76,4332,-3.249538578093052,49
77,4385,-3.521003730595112,53
78,4419,-2.261153370141983,34
79,4468,-3.2626329585909843,49
80,4514,-3.0675232857465744,46
81,4562,-3.205917865037918,48
82,4594,-2.139546014368534,32
83,4622,-1.8729467764496803,28
84,4660,-2.5431097373366356,38
85,4703,-2.881224475800991,43
86,4744,-2.7507803812623024,41
87,4787,-2.8887457624077797,43
88,4824,-2.4885586127638817,37
89,4883,-3.9744395688176155,59
90,4920,-2.4941862002015114,37
91,4964,-2.9695672541856766,44
92,5011,-3.1766346395015717,47
93,5070,-3.994502656161785,59
94,5109,-2.6423010751605034,39
95,5150,-2.7809668630361557,41
96,5185,-2.3764084354043007,35
97,5231,-3.126804769039154,46
98,5275,-2.994804009795189,44
99,5321,-3.1351901665329933,46
100,5361,-2.7294916957616806,40
101,5417,-3.8270283639431,56
102,5454,-2.530525378882885,37
103,5495,-2.807017005980015,41
104,5554,-4.045575834810734,59
105,5592,-2.6070778220891953,38
106,5642,-3.4347735345363617,50
107,5675,-2.2689471542835236,33
108,5722,-3.2348222136497498,47
109,5759,-2.5491843298077583,37
110,5827,-4.691592529416084,68
111,5860,-2.2754014506936073,33
112,5896,-2.484039679169655,36
113,5941,-3.1083686873316765,45
114,5985,-3.04291944950819,44
115,6034,-3.393113851547241,49
116,6064,-2.0790327563881874,30
117,6101,-2.565700851380825,37
118,6137,-2.4985045418143272,36
119,6180,-2.987326353788376,43
120,6207,-1.8771825209259987,27
121,6245,-2.6432789266109467,38
122,6277,-2.227677494287491,32
123,6310,-2.2987061217427254,33
124,6358,-3.346964970231056,48
125,6391,-2.302964508533478,33
126,6425,-2.374367207288742,34
127,6472,-3.2855797931551933,47
128,6510,-2.6589834690093994,38
129,6541,-2.170820064842701,31
130,6576,-2.4524655789136887,35
131,6616,-2.8053255826234818,40
132,6647,-2.1758538633584976,31
133,6688,-2.879972703754902,41
134,6721,-2.319990389049053,33
135,6762,-2.884863756597042,41
136,6806,-3.099342420697212,44
137,6836,-2.1148315221071243,30
138,6870,-2.3981801122426987,34
139,6908,-2.6824935376644135,38
140,6945,-2.6142184659838676,37
141,6981,-2.5457067266106606,36
142,7030,-3.468772865831852,49
143,7067,-2.6214370876550674,37
144,7100,-2.3398312404751778,33
145,7130,-2.128388524055481,30
146,7166,-2.5556567683815956,36
147,7203,-2.6288382932543755,37
148,7243,-2.844602659344673,40
149,7283,-2.8473318591713905,40
150,7314,-2.208359107375145,31
151,7348,-2.42356463521719,34
152,7386,-2.7108558416366577,38
153,7413,-1.927397795021534,27
154,7460,-3.3575586453080177,47
155,7504,-3.1463067308068275,44
156,7533,-2.0751615911722183,29
157,7571,-2.7208895459771156,38
158,7614,-3.081901863217354,43
159,7649,-2.5105953738093376,35
160,7692,-3.087260827422142,43
161,7726,-2.44303534924984,34
162,7762,-2.588660567998886,36
163,7793,-2.2306441217660904,31
164,7829,-2.59212114661932,36
165,7871,-3.026877209544182,42
166,7905,-2.4522605761885643,34
167,7936,-2.2373041957616806,31
168,7976,-2.8889639750123024,40
169,8020,-3.1809652522206306,44
170,8053,-2.3874904587864876,33
171,8087,-2.4614758267998695,34
172,8123,-2.6081716269254684,36
173,8167,-3.1907042264938354,44
174,8208,-2.975789375603199,41
175,8242,-2.4696128219366074,34
176,8274,-2.325836792588234,32
177,8309,-2.545544773340225,35
178,8339,-2.1832597702741623,30
179,8372,-2.402920424938202,33
180,8402,-2.18574520945549,30
181,8431,-2.113905631005764,29
182,8471,-2.9176620543003082,40
183,8504,-2.408831626176834,33
184,8543,-2.8489471673965454,39
185,8578,-2.558696575462818,35
186,8608,-2.194529816508293,30
187,8637,-2.1224039420485497,29
188,8663,-1.9036124423146248,26
189,8693,-2.1972951143980026,30
190,8732,-2.858409136533737,39
191,8759,-1.980104960501194,27
192,8805,-3.375852569937706,46
193,8832,-1.9825395047664642,27
