timestep,reward
13050,-2.5460000000000003
13100,-2.532
13150,-2.527
13200,-2.523
13250,-2.509
13300,-2.502
13350,-2.4989999999999997
13400,-2.494
13450,-2.4859999999999998
13500,-2.4829999999999997
13550,-2.4770000000000003
13600,-2.477
13650,-2.459
13700,-2.4530000000000003
13750,-2.447
13800,-2.439
13850,-2.43
13900,-2.4330000000000003
13950,-2.4330000000000003
14000,-2.427
14050,-2.423
14100,-2.4159999999999995
14150,-2.4139999999999997
14200,-2.3989999999999996
14250,-2.3949999999999996
14300,-2.387
14350,-2.3909999999999996
14400,-2.391
14450,-2.381
14500,-2.3789999999999996
14550,-2.3749999999999996
14600,-2.3739999999999997
14650,-2.3759999999999994
14700,-2.371
14750,-2.359
14800,-2.355
14850,-2.3550000000000004
14900,-2.349
14950,-2.347
15000,-2.343
15050,-2.3349999999999995
15100,-2.332
15150,-2.3320000000000003
15200,-2.331
15250,-2.3350000000000004
15300,-2.3350000000000004
15350,-2.3310000000000004
15400,-2.336
15450,-2.333
15500,-2.3280000000000003
15550,-2.318
15600,-2.3119999999999994
15650,-2.3089999999999993
15700,-2.302
15750,-2.3020000000000005
15800,-2.298
15850,-2.297
15900,-2.2920000000000003
15950,-2.2899999999999996
16000,-2.288
16050,-2.288
16100,-2.285
16150,-2.28
16200,-2.2699999999999996
16250,-2.271
16300,-2.271
16350,-2.2720000000000002
16400,-2.268
16450,-2.266
16500,-2.2669999999999995
16550,-2.2639999999999993
16600,-2.261
16650,-2.2569999999999997
16700,-2.2569999999999997
16750,-2.251
16800,-2.252
16850,-2.2539999999999996
16900,-2.248
16950,-2.2459999999999996
17000,-2.2469999999999994
17050,-2.248
17100,-2.246
17150,-2.24
17200,-2.239
17250,-2.237
17300,-2.243
17350,-2.24
17400,-2.2389999999999994
17450,-2.237
17500,-2.231
17550,-2.226
17600,-2.219
17650,-2.219
17700,-2.2159999999999997
17750,-2.214
17800,-2.211
17850,-2.21
17900,-2.206
17950,-2.2
18000,-2.1959999999999997
18050,-2.188
18100,-2.1820000000000004
18150,-2.181
18200,-2.179
18250,-2.17
18300,-2.1660000000000004
18350,-2.167
18400,-2.167
18450,-2.165
18500,-2.162
18550,-2.157
18600,-2.155
18650,-2.1519999999999997
18700,-2.1519999999999997
18750,-2.1479999999999997
18800,-2.1449999999999996
18850,-2.1439999999999997
18900,-2.1420000000000003
18950,-2.14
19000,-2.131
19050,-2.1300000000000003
19100,-2.123
19150,-2.117
19200,-2.112
19250,-2.1090000000000004
19300,-2.1039999999999996
19350,-2.1029999999999998
19400,-2.093
19450,-2.088
19500,-2.0850000000000004
19550,-2.084
19600,-2.083
19650,-2.081
19700,-2.0799999999999996
19750,-2.078
19800,-2.0749999999999997
19850,-2.074
19900,-2.072
19950,-2.072
20000,-2.074
20050,-2.072
20100,-2.07
20150,-2.072
20200,-2.075
20250,-2.0729999999999995
20300,-2.076
20350,-2.077
20400,-2.0759999999999996
20450,-2.073
20500,-2.07
20550,-2.07
20600,-2.072
20650,-2.0709999999999997
20700,-2.0740000000000003
20750,-2.074
20800,-2.072
20850,-2.071
20900,-2.072
20950,-2.074
21000,-2.074
21050,-2.076
21100,-2.078
21150,-2.077
21200,-2.0780000000000003
21250,-2.078
21300,-2.083
21350,-2.0850000000000004
21400,-2.083
21450,-2.086
21500,-2.0840000000000005
21550,-2.0850000000000004
21600,-2.084
21650,-2.0849999999999995
21700,-2.0879999999999996
21750,-2.0869999999999997
21800,-2.0890000000000004
21850,-2.091
21900,-2.092
21950,-2.096
22000,-2.097
22050,-2.097
22100,-2.099
22150,-2.096
22200,-2.097
22250,-2.097
22300,-2.095
22350,-2.092
22400,-2.088
22450,-2.09
22500,-2.0889999999999995
22550,-2.085
22600,-2.085
22650,-2.082
22700,-2.0799999999999996
22750,-2.082
22800,-2.0789999999999997
22850,-2.0789999999999997
22900,-2.0799999999999996
22950,-2.078
23000,-2.074
23050,-2.075
23100,-2.072
23150,-2.072
23200,-2.069
23250,-2.073
23300,-2.074
23350,-2.0759999999999996
23400,-2.073
23450,-2.073
23500,-2.0709999999999997
23550,-2.07
23600,-2.074
23650,-2.074
23700,-2.074
23750,-2.074
23800,-2.075
23850,-2.075
23900,-2.07
